pathway,pval,padj,ES,NES,nMoreExtreme,size,leadingEdge
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION,5.126233499935922e-4,0.03837641401169463,0.5098003944809084,1.8064188983758365,3,50,
REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,6.369426751592356e-4,0.03837641401169463,0.49459564900905156,1.7664784856084204,4,52,
REACTOME_SIGNALING_BY_NOTCH,8.929710422247736e-4,0.03837641401169463,0.4927065667626825,1.7532969802297502,6,51,
REACTOME_CIRCADIAN_CLOCK,9.282588516111921e-4,0.03837641401169463,0.5482811623676509,1.847295876391961,6,38,
REACTOME_REGULATION_OF_MRNA_STABILITY_BY_PROTEINS_THAT_BIND_AU_RICH_ELEMENTS,0.0014614056064833267,0.03837641401169463,0.5484138898288238,1.8282281745042703,10,36,
REACTOME_FCERI_MEDIATED_NF_KB_ACTIVATION,0.002155753166262463,0.03837641401169463,0.5439824826397095,1.768746211494759,15,32,
REACTOME_INTERLEUKIN_1_SIGNALING,0.00240064017071219,0.03837641401169463,0.5303150929573257,1.7570950349817067,17,35,
REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA,0.0026946914578280788,0.03837641401169463,0.5381749631108568,1.7498631987275197,19,32,
REACTOME_DEGRADATION_OF_GLI1_BY_THE_PROTEASOME,0.0027122321670735015,0.03837641401169463,0.541026754802227,1.7466272713057434,19,31,
REACTOME_DOWNSTREAM_TCR_SIGNALING,0.0027122321670735015,0.03837641401169463,0.5381172035165457,1.7372342023350762,19,31,
REACTOME_CLASS_I_MHC_MEDIATED_ANTIGEN_PROCESSING_PRESENTATION,0.002859866539561487,0.03837641401169463,0.42145047678819453,1.6362500392955313,23,87,
REACTOME_SIGNALING_BY_NOTCH4,0.0032546786004882017,0.03837641401169463,0.535730380297391,1.7295286859454377,23,31,
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING,0.0033213763783711972,0.03837641401169463,0.5195407895837116,1.7319749315933797,24,36,
REACTOME_DEFECTIVE_CFTR_CAUSES_CYSTIC_FIBROSIS,0.0033548040794417608,0.03837641401169463,0.5281296399661579,1.7278581978015086,24,33,
REACTOME_AUF1_HNRNP_D0_BINDS_AND_DESTABILIZES_MRNA,0.0033683643222850983,0.03837641401169463,0.5336398507238952,1.7351173877701216,24,32,
REACTOME_REGULATION_OF_PTEN_STABILITY_AND_ACTIVITY,0.003525901817195552,0.03837641401169463,0.533258044741362,1.7215471052423585,25,31,
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.003538859398393902,0.03837641401169463,0.5454837420536685,1.738613998423047,25,29,
